Opcode	Instruction	64-bit Mode	Compat/32-bit-Legacy Mode	Description
				
37	AAA	I	V	ASCII adjust AL after addition.
				
D5 0A	AAD	I	V	ASCII adjust AX before division.
D5 ib	(No mnemonic)	I	V	Adjust AX before division to number base imm8.
				
D4 0A	AAM	I	V	ASCII adjust AX after multiply.
D4 ib	(No mnemonic)	I	V	Adjust AX after multiply to number base imm8.
				
3F	AAS	I	V	ASCII adjust AL after subtraction.
				
14 ib	ADC AL, imm8	V	V	Add with carry imm8 to AL
15 iw	ADC AX, imm16	V	V	Add with carry imm16 to AX.
15 id	ADC EAX, imm32	V	V	Add with carry imm32 to EAX.
REX.W+ 15 id	ADC RAX, imm32	V	NE	Add with carry imm32 sign extended to 64- bits to RAX.
80 /2 ib	ADC r/m8, imm8	V	V	Add with carry imm8 to r/m8.
REX+ 80 /2 ib	ADC r/m8, imm8	V	NE	Add with carry imm8 to r/m8.
81 /2 iw	ADC r/m16, imm16	V	V	Add with carry imm16 to r/m16.
81 /2 id	ADC r/m32, imm32	V	V	Add with CF imm32 to r/m32.
REX.W+ 81 /2 id	ADC r/m64, imm32	V	NE	Add with CF imm32 sign extended to 64-bits to r/m64.
83 /2 ib	ADC r/m16, imm8	V	V	Add with CF sign-extended imm8 to r/m16.
83 /2 ib	ADC r/m32, imm8	V	V	Add with CF sign-extended imm8 into r/m32.
REX.W+ 83 /2 ib	ADC r/m64, imm8	V	NE	Add with CF sign-extended imm8 into r/m64.
10 /r	ADC r/m8, r8	V	V	Add with carry byte register to r/m8.
REX+ 10 /r	ADC r/m8, r8	V	NE	Add with carry byte register to r/m8.
11 /r	ADC r/m16, r16	V	V	Add with carry r16 to r/m16.
11 /r	ADC r/m32, r32	V	V	Add with CF r32 to r/m32.
REX.W+ 11 /r	ADC r/m64, r64	V	NE	Add with CF r64 to r/m64.
12 /r	ADC r8, r/m8	V	V	Add with carry r/m8 to byte register.
REX+ 12 /r	ADC r8, r/m8	V	NE	Add with carry r/m64 to byte register.
13 /r	ADC r16, r/m16	V	V	Add with carry r/m16 to r16.
13 /r	ADC r32, r/m32	V	V	Add with CF r/m32 to r32.
REX.W+ 13 /r	ADC r64, r/m64	V	NE	Add with CF r/m64 to r64.
				
04 ib	ADD AL, imm8	V	V	Add imm8 to AL.
05 iw	ADD AX, imm16 	V	V	Add imm16 to AX.
05 id	ADD EAX, imm32 	V	V	Add imm32 to EAX.
REX.W+ 05 id 	ADD RAX, imm32 	V	NE	Add imm32 sign-extended to 64-bits to RAX.  
80 /0 ib	ADD r/m8, imm8 	V	V	Add imm8 to r/m8.
REX+ 80 /0 ib 	ADD r/m8, imm8 	V	NE	Add sign-extended imm8 to r/m64.
81 /0 iw	ADD r/m16, imm16 	V	V	Add imm16 to r/m16.
81 /0 id	ADD r/m32, imm32 	V	V	Add imm32 to r/m32.
REX.W+ 81 /0 id	ADD r/m64, imm32	V	NE	Add imm32 sign-extended to 64-bits to r/m64.
83 /0 ib	ADD r/m16, imm8 	V	V	Add sign-extended imm8 to r/m16. 
83 /0 ib	ADD r/m32, imm8	V	V	Add sign-extended imm8 to r/m32. 
REX.W+ 83 /0 ib 	ADD r/m64, imm8 	V	NE	Add sign-extended imm8 to r/m64. 
00 /r 	ADD r/m8, r8 	V	V	Add r8 to r/m8.
REX+ 00 /r	ADD r/m8, r8	V	NE	Add r8 to r/m8. 
01 /r	ADD r/m16, r16 	V	V	Add r16 to r/m16. 
01 /r	ADD r/m32, r32 	V	V	Add r32 to r/m32. 
REX.W+ 01 /r 	ADD r/m64, r64 	V	NE	Add r64 to r/m64. 
02 /r 	ADD r8, r/m8 	V	V	Add r/m8 to r8. 
REX+ 02 /r	ADD r8, r/m8	V	NE	Add r/m8 to r8. 
03 /r	ADD r16, r/m16 	V	V	Add r/m16 to r16. 
03 /r	ADD r32, r/m32 	V	V	Add r/m32 to r32. 
REX.W+ 03 /r	ADD r64, r/m64	V	NE	Add r/m64 to r64.
				
66 0F 58 /r	ADDPD xmm1, xmm2/m128	V	V	Add packed double-precision floating-point values from xmm2/m128 to xmm1.
VEX.NDS.128.66.0F.WIG 58 /r	VADDPD xmm1, xmm2, xmm3/m128	V	V	Add packed double-precision floating-point values from xmm3/mem to xmm2 and stores result in xmm1.
VEX.NDS.256.66.0F.WIG 58 /r	VADDPD ymm1, ymm2, ymm3/m256	V	V	Add packed double-precision floating-point values from ymm3/mem to ymm2 and stores result in ymm1.
				
0F 58 /r	ADDPS xmm1, xmm2/m128	V	V	Add packed single-precision floating-point values from xmm2/m128 to xmm1 and stores result in xmm1.
VEX.NDS.128.0F.WIG 58 /r	VADDPS xmm1, xmm2, xmm3/m128	V	V	Add packed single-precision floating-point values from xmm3/mem to xmm2 and stores result in xmm1.
VEX.NDS.256.0F.WIG 58 /r	VADDPS ymm1, ymm2, ymm3/m256	V	V	Add packed single-precision floating-point values from ymm3/mem to ymm2 and stores result in ymm1.
				
F2 0F 58 /r	ADDSD xmm1, xmm2/m64	V	V	Add the low double-precision floating-point value from xmm2/m64 to xmm1.
VEX.NDS.LIG.F2.0F.WIG 58 /r	VADDSD xmm1, xmm2, xmm3/m64	V	V	Add the low double-precision floating-point value from xmm3/mem to xmm2 and store the result in xmm1.
				
F3 0F 58 /r	ADDSS xmm1, xmm2/m32	V	V	Add the low single-precision floating-point value from xmm2/m32 to xmm1.
VEX.NDS.LIG.F3.0F.WIG 58 /r	VADDSS xmm1, xmm2, xmm3/m32	V	V	Add the low single-precision floating-point value from xmm3/mem to xmm2 and store the result in xmm1.
				
66 0F D0 /r	ADDSUBPD xmm1, xmm2/m128	V	V	Add/subtract double-precision floating-point values from xmm2/m128 to xmm1.
VEX.NDS.128.66.0F.WIG D0 /r	VADDSUBPD xmm1, xmm2, xmm3/m128	V	V	Add/subtract packed double-precision floating-point values from xmm3/mem to xmm2 and stores result in xmm1.
VEX.NDS.256.66.0F.WIG D0 /r	VADDSUBPD ymm1, ymm2, ymm3/m256	V	V	Add / subtract packed double-precision floating-point values from ymm3/mem to ymm2 and stores result in ymm1.
				
F2 0F D0 /r	ADDSUBPS xmm1, xmm2/m128	V	V	Add/subtract single-precision floating-point values from xmm2/m128 to xmm1.
VEX.NDS.128.F2.0F.WIG D0 /r	VADDSUBPS xmm1, xmm2, xmm3/m128	V	V	Add/subtract single-precision floating-point values from xmm3/mem to xmm2 and stores result in xmm1.
VEX.NDS.256.F2.0F.WIG D0 /r	VADDSUBPS ymm1, ymm2, ymm3/m256	V	V	Add / subtract single-precision floating-point values from ymm3/mem to ymm2 and stores result in ymm1.
				
66 0F 38 DE /r	AESDEC xmm1, xmm2/m128	V	V	Perform one round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128.
VEX.NDS.128.66.0F38.WIG DE /r	VAESDEC xmm1, xmm2, xmm3/m128	V	V	Perform one round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm2 with a 128-bit round key from xmm3/m128; store the result in xmm1.
				
66 0F 38 DF /r	AESDECLAST xmm1, xmm2/m128	V	V	Perform the last round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128.
VEX.NDS.128.66.0F38.WIG DF /r	VAESDECLAST xmm1, xmm2, xmm3/m128	V	V	Perform the last round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm2 with a 128-bit round key from xmm3/m128; store the result in xmm1.
				
66 0F 38 DC /r	AESENC xmm1, xmm2/m128	V	V	Perform one round of an AES encryption flow, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128.
VEX.NDS.128.66.0F38.WIG DC /r	VAESENC xmm1, xmm2, xmm3/m128	V	V	Perform one round of an AES encryption flow, operating on a 128-bit data (state) from xmm2 with a 128-bit round key from the xmm3/m128; store the result in xmm1.
				
